situation_lemmatized,situation_lemmatized_lowered
I spend a lot of my time think about my childhood and my time in school since that be the last time I can say I felt truly happy.,I i spend a lot of my time think about my childhood and my time in school since that be the last time i can say i felt truly happy.
I Say The N-Word Whenever I want Wherever I want.,I i say the n-word whenever i want wherever i want.
I Say The N-Word Whenever I want Wherever I want.,I i say the n-word whenever i want wherever i want.
I give myself a nosebleed get stress over my best friend.,I i give myself a nosebleed get stress over my best friend.
I Lying For Ten Years Online.,I lie for ten year online.
I change my clock setting to military time just so it’s a slight inconvenience to anyone that use my phone to check the time.,I i change my clock setting to military time just so it’s a slight inconvenience to anyone that use my phone to check the time.
I pay a woman to give me head when I am a teen.,I i pay a woman to give me head when I am a teen.
I find my never end grief over the rejection from my crush be morally justifiable.,I i find my never end grief over the rejection from my crush be morally justifiable.
"If I didn’t need to fee my dog over the next two days, I would hang myself in my closet right now.","I if i didn’t need to fee my dog over the next two days, i would hang myself in my closet right now."
"If I didn’t need to fee my dog over the next two days, I would hang myself in my closet right now.","I if i didn’t need to fee my dog over the next two days, i would hang myself in my closet right now."
The youth leader I have a crush on kiss my best friend and I on our forehead when we are 14 and 15.,I the youth leader i have a crush on kiss my best friend and i on our forehead when we are 14 and 15.
The youth leader I have a crush on kiss my best friend and I on our forehead when we are 14 and 15.,I the youth leader i have a crush on kiss my best friend and i on our forehead when we are 14 and 15.
"I wake up around 2 am, do some stuff, take a sleep med and go back to sleep 2 hr later.","I i wake up around 2 am, do some stuff, take a sleep med and go back to sleep 2 hr later."
I Signed up for yoga class because of foot fetish.,I sign up for yoga class because of foot fetish.
I hide my husband's key so he can't find them in the morning.,I i hide my husband's key so he can't find them in the morning.
I hide my husband's key so he can't find them in the morning.,I i hide my husband's key so he can't find them in the morning.
I kick a guy in the nut for money once but I felt like a whorè.,I i kick a guy in the nut for money once but i felt like a whorè.
I kick a guy in the nut for money once but I felt like a whorè.,I i kick a guy in the nut for money once but i felt like a whorè.
I almost burn my house down.,I i almost burn my house down.
I no longer eat bread.,I i no longer eat bread.
I really want a war to break out and I watch the news on North Korea with excitement.,I i really want a war to break out and i watch the news on north korea with excitement.
I plan on leave work at 1pm today.,I i plan on leave work at 1pm today.
I watch video of fat people to make myself feel well.,I i watch video of fat people to make myself feel well.
I watch video of fat people to make myself feel well.,I i watch video of fat people to make myself feel well.
I accidentally take my mom's med-x last night and i'm too scared to tell anyone.,I i accidentally take my mom's med-x last night and i'm too scared to tell anyone.
I didn’t wake my bf up this morning and he is late for work and I feel guilty as heck.,I i didn’t wake my bf up this morning and he is late for work and i feel guilty as heck.
I am attract to old men when I am a child. I still be today into adulthood.,I I am attract to old men when I am a child. i still be today into adulthood.
I am attract to old men when I am a child. I still be today into adulthood.,I I am attract to old men when I am a child. i still be today into adulthood.
I get hit on at the gym a lot lately.,I i get hit on at the gym a lot lately.
It Was a Mistake To Let NlGGERS Vote.,It is a mistake to let nlggers vote.
I think I wanna be single. I can't handle my mentally ill GF.,I i think i wanna be single. i can't handle my mentally ill gf.
I am suspicious of everyone around me and it’s ruin my social life.,I I am suspicious of everyone around me and it’s ruin my social life.
"So, I don't have any real archievements in my life.","I so, i don't have any real archievements in my life."
I break my own advice.,I i break my own advice.
I have a crush on 2 of my teacher.,I i have a crush on 2 of my teacher.
I am now happy.,I I am now happy.
I am now happy.,I I am now happy.
Many people I know got cheat on so I can't shake off the constant fear that I'm next.,I many people i know got cheat on so i can't shake off the constant fear that i'm next.
I'm a lot more morbid than I think I was..,I i'm a lot more morbid than i think i was..
I miss a job interview today because I just couldn’t be bother to get up. I’m a lazy mess and I don’t know what to do about it anymore.,I i miss a job interview today because i just couldn’t be bother to get up. i’m a lazy mess and i don’t know what to do about it anymore.
I want to be murder.,I i want to be murder.
I need nonjudgemental therapy.,I i need nonjudgemental therapy.
I wanna get with every girl in my life.,I i wanna get with every girl in my life.
I cant stop myself and get out of the hole.,I i cant stop myself and get out of the hole.
I sometimes use fingernail as dental floss.,I sometimes use fingernails as dental floss.
I date a 26 year old man when I am 15.,I i date a 26 year old man when I am 15.
I amat up a walmart employee because i couldn't find what i want.,I I amat up a walmart employee because i couldn't find what i want.
I eat all the cake.,I i eat all the cake.
I do not go on twitch anymore thanks to my ex.,I i do not go on twitch anymore thanks to my ex.
"When I use to work at Pizza Hut, we use to roll the dough on the ground before bake it.","I when i use to work at pizza hut, we use to roll the dough on the ground before bake it."
